month,company,offer_id,offer,category,channel,units_sold,capacity_units,price,unit_cost,repeat_rate,satisfaction,growth_rate,lead_time_days,is_service,is_synthetic
2025-01-01,雜草町,D2-01-01,手捏陶體驗-方案1,手捏陶體驗,線上,35,63,922,313,0.222,3.6,-0.123,7,1,True
2025-02-01,雜草町,D2-01-01,手捏陶體驗-方案1,手捏陶體驗,線上,16,26,922,313,0.114,3.36,-0.107,7,1,True
2025-03-01,雜草町,D2-01-01,手捏陶體驗-方案1,手捏陶體驗,線上,29,56,922,313,0.081,2.99,-0.045,3,1,True
2025-04-01,雜草町,D2-01-01,手捏陶體驗-方案1,手捏陶體驗,線上,35,72,922,313,0.222,3.62,-0.099,6,1,True
2025-05-01,雜草町,D2-01-01,手捏陶體驗-方案1,手捏陶體驗,線上,34,69,922,313,0.19,3.44,-0.125,6,1,True
2025-06-01,雜草町,D2-01-01,手捏陶體驗-方案1,手捏陶體驗,線上,22,40,922,313,0.107,3.46,-0.117,4,1,True
2025-07-01,雜草町,D2-01-01,手捏陶體驗-方案1,手捏陶體驗,線上,24,45,922,313,0.222,3.65,-0.055,3,1,True
2025-08-01,雜草町,D2-01-01,手捏陶體驗-方案1,手捏陶體驗,線上,36,62,922,313,0.214,3.74,-0.043,3,1,True
2025-09-01,雜草町,D2-01-01,手捏陶體驗-方案1,手捏陶體驗,線上,29,61,922,313,0.152,3.47,-0.105,3,1,True
2025-10-01,雜草町,D2-01-01,手捏陶體驗-方案1,手捏陶體驗,線上,14,25,922,313,0.188,3.34,-0.111,4,1,True
2025-11-01,雜草町,D2-01-01,手捏陶體驗-方案1,手捏陶體驗,線上,32,61,922,313,0.195,3.33,-0.053,6,1,True
2025-12-01,雜草町,D2-01-01,手捏陶體驗-方案1,手捏陶體驗,線上,30,54,922,313,0.144,3.15,-0.059,4,1,True
2025-01-01,雜草町,D2-01-02,羊毛氈課程-方案1,羊毛氈課程,門市,53,79,1062,425,0.23,3.82,-0.019,8,1,True
2025-02-01,雜草町,D2-01-02,羊毛氈課程-方案1,羊毛氈課程,門市,55,98,1062,425,0.195,3.74,-0.105,10,1,True
2025-03-01,雜草町,D2-01-02,羊毛氈課程-方案1,羊毛氈課程,門市,54,88,1062,425,0.179,3.88,-0.029,9,1,True
2025-04-01,雜草町,D2-01-02,羊毛氈課程-方案1,羊毛氈課程,門市,58,87,1062,425,0.249,3.82,-0.101,7,1,True
2025-05-01,雜草町,D2-01-02,羊毛氈課程-方案1,羊毛氈課程,門市,56,86,1062,425,0.243,3.3,0.036,9,1,True
2025-06-01,雜草町,D2-01-02,羊毛氈課程-方案1,羊毛氈課程,門市,54,99,1062,425,0.243,3.78,-0.019,10,1,True
2025-07-01,雜草町,D2-01-02,羊毛氈課程-方案1,羊毛氈課程,門市,54,85,1062,425,0.238,3.39,-0.046,10,1,True
2025-08-01,雜草町,D2-01-02,羊毛氈課程-方案1,羊毛氈課程,門市,61,100,1062,425,0.23,3.91,-0.017,11,1,True
2025-09-01,雜草町,D2-01-02,羊毛氈課程-方案1,羊毛氈課程,門市,45,67,1062,425,0.188,3.72,-0.022,7,1,True
2025-10-01,雜草町,D2-01-02,羊毛氈課程-方案1,羊毛氈課程,門市,37,64,1062,425,0.191,3.37,-0.059,10,1,True
2025-11-01,雜草町,D2-01-02,羊毛氈課程-方案1,羊毛氈課程,門市,32,49,1062,425,0.268,3.79,-0.045,10,1,True
2025-12-01,雜草町,D2-01-02,羊毛氈課程-方案1,羊毛氈課程,門市,50,80,1062,425,0.252,3.24,-0.024,7,1,True
2025-01-01,雜草町,D2-01-03,金工入門-方案1,金工入門,活動,52,76,1203,553,0.334,3.8,-0.079,12,1,True
2025-02-01,雜草町,D2-01-03,金工入門-方案1,金工入門,活動,73,124,1203,553,0.256,3.51,0.011,12,1,True
2025-03-01,雜草町,D2-01-03,金工入門-方案1,金工入門,活動,63,88,1203,553,0.346,3.67,-0.111,13,1,True
2025-04-01,雜草町,D2-01-03,金工入門-方案1,金工入門,活動,58,82,1203,553,0.301,3.67,-0.021,12,1,True
2025-05-01,雜草町,D2-01-03,金工入門-方案1,金工入門,活動,59,85,1203,553,0.336,4.04,0.044,12,1,True
2025-06-01,雜草町,D2-01-03,金工入門-方案1,金工入門,活動,62,91,1203,553,0.31,3.67,0.028,13,1,True
2025-07-01,雜草町,D2-01-03,金工入門-方案1,金工入門,活動,67,101,1203,553,0.307,3.5,-0.064,15,1,True
2025-08-01,雜草町,D2-01-03,金工入門-方案1,金工入門,活動,59,87,1203,553,0.31,3.95,-0.01,13,1,True
2025-09-01,雜草町,D2-01-03,金工入門-方案1,金工入門,活動,52,73,1203,553,0.259,4.1,0.048,13,1,True
2025-10-01,雜草町,D2-01-03,金工入門-方案1,金工入門,活動,38,54,1203,553,0.277,3.67,0.022,11,1,True
2025-11-01,雜草町,D2-01-03,金工入門-方案1,金工入門,活動,42,57,1203,553,0.297,3.72,-0.014,13,1,True
2025-12-01,雜草町,D2-01-03,金工入門-方案1,金工入門,活動,44,61,1203,553,0.295,3.93,-0.016,14,1,True
2025-01-01,雜草町,D2-01-04,老宅夜間工藝-方案1,老宅夜間工藝,會員,69,97,1344,699,0.329,4.15,0.045,16,1,True
2025-02-01,雜草町,D2-01-04,老宅夜間工藝-方案1,老宅夜間工藝,會員,81,105,1344,699,0.346,4.18,0.039,19,1,True
2025-03-01,雜草町,D2-01-04,老宅夜間工藝-方案1,老宅夜間工藝,會員,89,116,1344,699,0.388,4.15,0.016,19,1,True
2025-04-01,雜草町,D2-01-04,老宅夜間工藝-方案1,老宅夜間工藝,會員,89,111,1344,699,0.408,3.84,-0.011,16,1,True
2025-05-01,雜草町,D2-01-04,老宅夜間工藝-方案1,老宅夜間工藝,會員,83,102,1344,699,0.369,3.99,0.078,17,1,True
2025-06-01,雜草町,D2-01-04,老宅夜間工藝-方案1,老宅夜間工藝,會員,89,112,1344,699,0.338,3.91,0.025,19,1,True
2025-07-01,雜草町,D2-01-04,老宅夜間工藝-方案1,老宅夜間工藝,會員,68,92,1344,699,0.437,4.0,0.013,16,1,True
2025-08-01,雜草町,D2-01-04,老宅夜間工藝-方案1,老宅夜間工藝,會員,82,109,1344,699,0.422,3.78,0.063,17,1,True
2025-09-01,雜草町,D2-01-04,老宅夜間工藝-方案1,老宅夜間工藝,會員,74,105,1344,699,0.373,3.94,0.031,15,1,True
2025-10-01,雜草町,D2-01-04,老宅夜間工藝-方案1,老宅夜間工藝,會員,64,85,1344,699,0.374,4.31,0.017,18,1,True
2025-11-01,雜草町,D2-01-04,老宅夜間工藝-方案1,老宅夜間工藝,會員,72,85,1344,699,0.369,3.88,0.085,16,1,True
2025-12-01,雜草町,D2-01-04,老宅夜間工藝-方案1,老宅夜間工藝,會員,81,103,1344,699,0.379,3.7,0.049,17,1,True
2025-01-01,雜草町,D2-01-05,手捏陶體驗-方案2,手捏陶體驗,線上,80,92,1485,505,0.553,4.03,0.126,22,1,True
2025-02-01,雜草町,D2-01-05,手捏陶體驗-方案2,手捏陶體驗,線上,98,119,1485,505,0.445,3.82,0.044,22,1,True
2025-03-01,雜草町,D2-01-05,手捏陶體驗-方案2,手捏陶體驗,線上,94,115,1485,505,0.449,4.14,0.066,21,1,True
2025-04-01,雜草町,D2-01-05,手捏陶體驗-方案2,手捏陶體驗,線上,95,109,1485,505,0.418,4.22,0.055,21,1,True
2025-05-01,雜草町,D2-01-05,手捏陶體驗-方案2,手捏陶體驗,線上,103,129,1485,505,0.482,4.07,0.055,19,1,True
2025-06-01,雜草町,D2-01-05,手捏陶體驗-方案2,手捏陶體驗,線上,93,124,1485,505,0.44,4.11,0.117,22,1,True
2025-07-01,雜草町,D2-01-05,手捏陶體驗-方案2,手捏陶體驗,線上,99,116,1485,505,0.472,4.09,0.054,19,1,True
2025-08-01,雜草町,D2-01-05,手捏陶體驗-方案2,手捏陶體驗,線上,84,103,1485,505,0.443,3.91,0.087,23,1,True
2025-09-01,雜草町,D2-01-05,手捏陶體驗-方案2,手捏陶體驗,線上,61,78,1485,505,0.446,4.11,0.103,23,1,True
2025-10-01,雜草町,D2-01-05,手捏陶體驗-方案2,手捏陶體驗,線上,85,106,1485,505,0.391,3.84,0.105,23,1,True
2025-11-01,雜草町,D2-01-05,手捏陶體驗-方案2,手捏陶體驗,線上,74,93,1485,505,0.399,4.33,0.074,23,1,True
2025-12-01,雜草町,D2-01-05,手捏陶體驗-方案2,手捏陶體驗,線上,95,115,1485,505,0.38,4.18,0.049,21,1,True
2025-01-01,雜草町,D2-01-06,羊毛氈課程-方案2,羊毛氈課程,門市,45,82,922,369,0.169,3.54,-0.075,6,1,True
2025-02-01,雜草町,D2-01-06,羊毛氈課程-方案2,羊毛氈課程,門市,47,72,922,369,0.194,3.48,-0.145,5,1,True
2025-03-01,雜草町,D2-01-06,羊毛氈課程-方案2,羊毛氈課程,門市,48,99,922,369,0.173,3.27,-0.137,7,1,True
2025-04-01,雜草町,D2-01-06,羊毛氈課程-方案2,羊毛氈課程,門市,45,86,922,369,0.134,3.4,-0.027,7,1,True
2025-05-01,雜草町,D2-01-06,羊毛氈課程-方案2,羊毛氈課程,門市,42,70,922,369,0.193,3.23,-0.056,3,1,True
2025-06-01,雜草町,D2-01-06,羊毛氈課程-方案2,羊毛氈課程,門市,51,96,922,369,0.216,3.65,-0.086,7,1,True
2025-07-01,雜草町,D2-01-06,羊毛氈課程-方案2,羊毛氈課程,門市,45,74,922,369,0.164,3.31,-0.12,3,1,True
2025-08-01,雜草町,D2-01-06,羊毛氈課程-方案2,羊毛氈課程,門市,52,94,922,369,0.147,3.28,-0.022,6,1,True
2025-09-01,雜草町,D2-01-06,羊毛氈課程-方案2,羊毛氈課程,門市,35,72,922,369,0.128,3.69,-0.076,3,1,True
2025-10-01,雜草町,D2-01-06,羊毛氈課程-方案2,羊毛氈課程,門市,34,58,922,369,0.162,3.26,-0.031,6,1,True
2025-11-01,雜草町,D2-01-06,羊毛氈課程-方案2,羊毛氈課程,門市,32,64,922,369,0.158,3.54,-0.18,5,1,True
2025-12-01,雜草町,D2-01-06,羊毛氈課程-方案2,羊毛氈課程,門市,40,61,922,369,0.108,3.41,-0.073,5,1,True
2025-01-01,雜草町,D2-01-07,金工入門-方案2,金工入門,活動,51,81,1062,489,0.237,3.51,-0.091,7,1,True
2025-02-01,雜草町,D2-01-07,金工入門-方案2,金工入門,活動,66,98,1062,489,0.232,3.67,-0.039,11,1,True
2025-03-01,雜草町,D2-01-07,金工入門-方案2,金工入門,活動,52,78,1062,489,0.185,3.97,-0.113,9,1,True
2025-04-01,雜草町,D2-01-07,金工入門-方案2,金工入門,活動,53,85,1062,489,0.255,3.51,-0.024,11,1,True
2025-05-01,雜草町,D2-01-07,金工入門-方案2,金工入門,活動,43,73,1062,489,0.239,3.93,-0.013,8,1,True
2025-06-01,雜草町,D2-01-07,金工入門-方案2,金工入門,活動,71,111,1062,489,0.273,3.49,-0.035,8,1,True
2025-07-01,雜草町,D2-01-07,金工入門-方案2,金工入門,活動,56,90,1062,489,0.266,3.57,-0.041,7,1,True
2025-08-01,雜草町,D2-01-07,金工入門-方案2,金工入門,活動,62,107,1062,489,0.192,3.94,-0.069,7,1,True
2025-09-01,雜草町,D2-01-07,金工入門-方案2,金工入門,活動,47,80,1062,489,0.167,3.53,-0.038,8,1,True
2025-10-01,雜草町,D2-01-07,金工入門-方案2,金工入門,活動,34,54,1062,489,0.214,3.8,-0.051,8,1,True
2025-11-01,雜草町,D2-01-07,金工入門-方案2,金工入門,活動,42,72,1062,489,0.15,3.55,-0.004,10,1,True
2025-12-01,雜草町,D2-01-07,金工入門-方案2,金工入門,活動,46,73,1062,489,0.244,3.74,-0.067,7,1,True
2025-01-01,雜草町,D2-01-08,老宅夜間工藝-方案2,老宅夜間工藝,會員,69,114,1203,626,0.234,3.95,-0.052,14,1,True
2025-02-01,雜草町,D2-01-08,老宅夜間工藝-方案2,老宅夜間工藝,會員,84,130,1203,626,0.276,3.69,0.043,12,1,True
