date,company,channel,audience_segment,creative_type,device,impression,clicked,visited,converted,spend,revenue,unit_margin_rate,is_synthetic
2025-10-01,雜草町,Meta,新客探索,短影音,mobile,1,0,0,0,4.63,0.0,0.62,True
2025-10-02,雜草町,Google,新客探索,短影音,mobile,1,0,0,0,8.33,0.0,0.62,True
2025-10-03,雜草町,LINE,新客探索,短影音,mobile,1,0,0,0,3.59,0.0,0.62,True
2025-10-04,雜草町,Email,新客探索,短影音,mobile,1,0,0,0,1.15,0.0,0.62,True
2025-10-05,雜草町,YouTube,新客探索,短影音,desktop,1,1,0,0,4.61,0.0,0.62,True
2025-10-06,雜草町,Meta,高意圖,短影音,desktop,1,0,0,0,4.8,0.0,0.62,True
2025-10-07,雜草町,Google,高意圖,短影音,mobile,1,0,0,0,6.35,0.0,0.62,True
2025-10-08,雜草町,LINE,高意圖,短影音,mobile,1,0,0,0,3.02,0.0,0.62,True
2025-10-09,雜草町,Email,高意圖,短影音,mobile,1,0,0,0,1.29,0.0,0.62,True
2025-10-10,雜草町,YouTube,高意圖,短影音,desktop,1,0,0,0,5.68,0.0,0.62,True
2025-10-11,雜草町,Meta,既有會員,短影音,desktop,1,0,0,0,4.07,0.0,0.62,True
2025-10-12,雜草町,Google,既有會員,短影音,desktop,1,0,0,0,7.41,0.0,0.62,True
2025-10-13,雜草町,LINE,既有會員,短影音,mobile,1,1,0,0,4.08,0.0,0.62,True
2025-10-14,雜草町,Email,既有會員,短影音,mobile,1,1,1,0,1.27,0.0,0.62,True
2025-10-15,雜草町,YouTube,既有會員,短影音,mobile,1,0,0,0,6.33,0.0,0.62,True
2025-10-16,雜草町,Meta,親子家庭,短影音,mobile,1,0,0,0,4.91,0.0,0.62,True
2025-10-17,雜草町,Google,親子家庭,短影音,mobile,1,0,0,0,7.88,0.0,0.62,True
2025-10-18,雜草町,LINE,親子家庭,短影音,desktop,1,0,0,0,3.84,0.0,0.62,True
2025-10-19,雜草町,Email,親子家庭,短影音,mobile,1,0,0,0,1.15,0.0,0.62,True
2025-10-20,雜草町,YouTube,親子家庭,短影音,mobile,1,0,0,0,5.32,0.0,0.62,True
2025-10-21,雜草町,Meta,年輕族群,短影音,mobile,1,0,0,0,5.14,0.0,0.62,True
2025-10-22,雜草町,Google,年輕族群,短影音,mobile,1,0,0,0,6.58,0.0,0.62,True
2025-10-23,雜草町,LINE,年輕族群,短影音,mobile,1,0,0,0,3.19,0.0,0.62,True
2025-10-24,雜草町,Email,年輕族群,短影音,mobile,1,1,0,0,1.42,0.0,0.62,True
2025-10-25,雜草町,YouTube,年輕族群,短影音,desktop,1,0,0,0,6.56,0.0,0.62,True
2025-10-26,雜草町,Meta,新客探索,情境圖文,mobile,1,1,1,0,5.1,0.0,0.62,True
2025-10-27,雜草町,Google,新客探索,情境圖文,desktop,1,0,0,0,6.61,0.0,0.62,True
2025-10-28,雜草町,LINE,新客探索,情境圖文,mobile,1,0,0,0,3.93,0.0,0.62,True
2025-10-29,雜草町,Email,新客探索,情境圖文,mobile,1,0,0,0,1.23,0.0,0.62,True
