date,company,offer,search_index,social_mentions,website_visits,promo_spend,price_index,competitor_index,holiday_flag,demand_units,is_synthetic
2024-01-01,義大開發,樂園一日票,59.5,,2876.0,12060.0,1.014,55.9,1,530,True
2024-02-01,義大開發,樂園一日票,56.7,113.0,2756.0,15893.0,0.91,55.5,1,583,True
2024-03-01,義大開發,樂園一日票,55.5,59.0,2782.0,11101.0,1.061,58.4,0,516,True
2024-04-01,義大開發,樂園一日票,56.7,75.0,2845.0,9954.0,0.969,46.7,0,486,True
2024-05-01,義大開發,樂園一日票,51.7,73.0,2625.0,11487.0,1.079,46.6,0,386,True
2024-06-01,義大開發,樂園一日票,36.0,73.0,2560.0,10198.0,1.034,51.0,0,441,True
2024-07-01,義大開發,樂園一日票,53.8,96.0,2667.0,12140.0,1.073,48.4,1,565,True
2024-08-01,義大開發,樂園一日票,52.2,71.0,2497.0,10959.0,0.964,45.1,1,537,True
2024-09-01,義大開發,樂園一日票,34.6,44.0,2651.0,9178.0,0.988,50.6,0,459,True
2024-10-01,義大開發,樂園一日票,45.1,48.0,2552.0,10858.0,0.99,52.0,0,544,True
2024-11-01,義大開發,樂園一日票,49.1,11.0,2310.0,9740.0,1.003,36.8,0,512,True
2024-12-01,義大開發,樂園一日票,60.8,86.0,2769.0,15338.0,0.938,55.5,1,620,True
2025-01-01,義大開發,樂園一日票,52.5,97.0,2941.0,13770.0,0.9,51.6,1,605,True
2025-02-01,義大開發,樂園一日票,63.4,85.0,2799.0,13716.0,1.046,38.8,1,580,True
2025-03-01,義大開發,樂園一日票,56.2,74.0,2695.0,9457.0,0.943,31.3,0,484,True
2025-04-01,義大開發,樂園一日票,55.5,78.0,2849.0,10487.0,1.017,40.0,0,440,True
2025-05-01,義大開發,樂園一日票,61.8,84.0,2569.0,9745.0,1.027,31.5,0,470,True
2025-06-01,義大開發,樂園一日票,49.9,58.0,2747.0,8753.0,0.962,35.4,0,499,True
2025-07-01,義大開發,樂園一日票,65.1,74.0,2952.0,14022.0,0.916,61.8,1,598,True
2025-08-01,義大開發,樂園一日票,57.9,78.0,2707.0,13410.0,1.01,67.1,1,564,True
2025-09-01,義大開發,樂園一日票,57.0,14.0,2743.0,10594.0,0.931,55.3,0,608,True
2025-10-01,義大開發,樂園一日票,48.4,11.0,2688.0,10461.0,0.972,44.4,0,454,True
2025-11-01,義大開發,樂園一日票,39.9,37.0,2368.0,8651.0,0.998,45.7,0,485,True
2025-12-01,義大開發,樂園一日票,58.3,74.0,2915.0,14785.0,1.022,56.9,1,551,True
2024-01-01,義大開發,購物樂園套票,66.4,124.0,2979.0,10271.0,1.031,40.2,1,555,True
2024-02-01,義大開發,購物樂園套票,72.8,95.0,3194.0,10621.0,1.035,64.6,1,581,True
2024-03-01,義大開發,購物樂園套票,51.5,108.0,2651.0,7024.0,1.102,54.1,0,546,True
2024-04-01,義大開發,購物樂園套票,58.1,81.0,2572.0,11134.0,0.977,47.9,0,593,True
2024-05-01,義大開發,購物樂園套票,65.9,72.0,2850.0,11413.0,0.928,33.1,0,556,True
2024-06-01,義大開發,購物樂園套票,52.9,61.0,2738.0,11069.0,1.028,54.3,0,536,True
2024-07-01,義大開發,購物樂園套票,66.0,91.0,2951.0,13685.0,1.066,42.2,1,599,True
2024-08-01,義大開發,購物樂園套票,53.8,80.0,2727.0,11670.0,1.072,55.0,1,619,True
2024-09-01,義大開發,購物樂園套票,43.4,63.0,2570.0,8048.0,0.925,29.6,0,504,True
2024-10-01,義大開發,購物樂園套票,47.6,53.0,2548.0,8721.0,1.002,42.4,0,470,True
2024-11-01,義大開發,購物樂園套票,44.8,39.0,2409.0,9943.0,1.048,24.9,0,510,True
2024-12-01,義大開發,購物樂園套票,62.7,86.0,2889.0,14643.0,1.02,62.4,1,617,True
2025-01-01,義大開發,購物樂園套票,71.0,73.0,3075.0,14387.0,0.994,33.5,1,558,True
