month,company,offer_id,offer,category,channel,units_sold,capacity_units,price,unit_cost,repeat_rate,satisfaction,growth_rate,lead_time_days,is_service,is_synthetic
2025-01-01,義大開發,D2-02-01,樂園一日票-方案1,樂園一日票,線上,34,69,4464,1518,0.135,3.59,-0.104,7,1,True
2025-02-01,義大開發,D2-02-01,樂園一日票-方案1,樂園一日票,線上,48,85,4464,1518,0.124,3.53,-0.133,7,1,True
2025-03-01,義大開發,D2-02-01,樂園一日票-方案1,樂園一日票,線上,40,71,4464,1518,0.203,3.62,-0.033,4,1,True
2025-04-01,義大開發,D2-02-01,樂園一日票-方案1,樂園一日票,線上,40,77,4464,1518,0.154,3.33,-0.021,3,1,True
2025-05-01,義大開發,D2-02-01,樂園一日票-方案1,樂園一日票,線上,33,61,4464,1518,0.215,3.39,-0.15,6,1,True
2025-06-01,義大開發,D2-02-01,樂園一日票-方案1,樂園一日票,線上,28,46,4464,1518,0.196,3.18,-0.143,3,1,True
2025-07-01,義大開發,D2-02-01,樂園一日票-方案1,樂園一日票,線上,35,62,4464,1518,0.18,3.38,-0.056,3,1,True
2025-08-01,義大開發,D2-02-01,樂園一日票-方案1,樂園一日票,線上,23,40,4464,1518,0.123,3.68,-0.137,4,1,True
2025-09-01,義大開發,D2-02-01,樂園一日票-方案1,樂園一日票,線上,32,55,4464,1518,0.146,3.25,-0.107,5,1,True
2025-10-01,義大開發,D2-02-01,樂園一日票-方案1,樂園一日票,線上,31,60,4464,1518,0.16,3.44,-0.063,5,1,True
2025-11-01,義大開發,D2-02-01,樂園一日票-方案1,樂園一日票,線上,20,32,4464,1518,0.182,3.5,-0.112,4,1,True
2025-12-01,義大開發,D2-02-01,樂園一日票-方案1,樂園一日票,線上,26,52,4464,1518,0.114,3.23,-0.037,7,1,True
2025-01-01,義大開發,D2-02-02,購物樂園套票-方案1,購物樂園套票,門市,47,83,5146,2058,0.257,3.53,-0.047,11,1,True
2025-02-01,義大開發,D2-02-02,購物樂園套票-方案1,購物樂園套票,門市,59,91,5146,2058,0.282,3.33,-0.107,10,1,True
2025-03-01,義大開發,D2-02-02,購物樂園套票-方案1,購物樂園套票,門市,61,95,5146,2058,0.21,3.46,-0.058,7,1,True
2025-04-01,義大開發,D2-02-02,購物樂園套票-方案1,購物樂園套票,門市,57,91,5146,2058,0.244,3.77,-0.064,10,1,True
2025-05-01,義大開發,D2-02-02,購物樂園套票-方案1,購物樂園套票,門市,50,85,5146,2058,0.194,3.97,-0.022,11,1,True
2025-06-01,義大開發,D2-02-02,購物樂園套票-方案1,購物樂園套票,門市,49,80,5146,2058,0.174,3.48,-0.057,9,1,True
2025-07-01,義大開發,D2-02-02,購物樂園套票-方案1,購物樂園套票,門市,51,74,5146,2058,0.222,3.51,0.021,7,1,True
2025-08-01,義大開發,D2-02-02,購物樂園套票-方案1,購物樂園套票,門市,51,85,5146,2058,0.283,3.67,-0.014,10,1,True
2025-09-01,義大開發,D2-02-02,購物樂園套票-方案1,購物樂園套票,門市,55,84,5146,2058,0.261,3.49,-0.007,11,1,True
2025-10-01,義大開發,D2-02-02,購物樂園套票-方案1,購物樂園套票,門市,32,51,5146,2058,0.159,3.4,-0.021,7,1,True
2025-11-01,義大開發,D2-02-02,購物樂園套票-方案1,購物樂園套票,門市,42,69,5146,2058,0.233,3.7,-0.077,7,1,True
2025-12-01,義大開發,D2-02-02,購物樂園套票-方案1,購物樂園套票,門市,51,80,5146,2058,0.223,3.72,-0.034,7,1,True
2025-01-01,義大開發,D2-02-03,兩天一夜度假-方案1,兩天一夜度假,活動,57,81,5828,2681,0.295,3.84,-0.047,15,1,True
2025-02-01,義大開發,D2-02-03,兩天一夜度假-方案1,兩天一夜度假,活動,68,99,5828,2681,0.299,3.72,-0.037,15,1,True
2025-03-01,義大開發,D2-02-03,兩天一夜度假-方案1,兩天一夜度假,活動,58,86,5828,2681,0.306,3.87,0.017,12,1,True
2025-04-01,義大開發,D2-02-03,兩天一夜度假-方案1,兩天一夜度假,活動,60,90,5828,2681,0.266,3.87,0.047,13,1,True
2025-05-01,義大開發,D2-02-03,兩天一夜度假-方案1,兩天一夜度假,活動,65,93,5828,2681,0.373,3.44,-0.031,13,1,True
2025-06-01,義大開發,D2-02-03,兩天一夜度假-方案1,兩天一夜度假,活動,64,102,5828,2681,0.315,3.62,-0.017,14,1,True
2025-07-01,義大開發,D2-02-03,兩天一夜度假-方案1,兩天一夜度假,活動,54,80,5828,2681,0.27,3.79,0.053,14,1,True
2025-08-01,義大開發,D2-02-03,兩天一夜度假-方案1,兩天一夜度假,活動,53,82,5828,2681,0.293,3.73,-0.033,12,1,True
2025-09-01,義大開發,D2-02-03,兩天一夜度假-方案1,兩天一夜度假,活動,44,65,5828,2681,0.278,3.64,0.059,12,1,True
2025-10-01,義大開發,D2-02-03,兩天一夜度假-方案1,兩天一夜度假,活動,52,85,5828,2681,0.3,3.76,-0.046,14,1,True
2025-11-01,義大開發,D2-02-03,兩天一夜度假-方案1,兩天一夜度假,活動,42,60,5828,2681,0.255,3.49,-0.031,14,1,True
2025-12-01,義大開發,D2-02-03,兩天一夜度假-方案1,兩天一夜度假,活動,59,83,5828,2681,0.291,3.77,-0.03,12,1,True
2025-01-01,義大開發,D2-02-04,三天兩夜深度假期-方案1,三天兩夜深度假期,會員,87,123,6510,3385,,3.85,0.091,19,1,True
2025-02-01,義大開發,D2-02-04,三天兩夜深度假期-方案1,三天兩夜深度假期,會員,93,117,6510,3385,0.369,3.74,0.056,15,1,True
2025-03-01,義大開發,D2-02-04,三天兩夜深度假期-方案1,三天兩夜深度假期,會員,86,110,6510,3385,0.409,3.68,0.039,16,1,True
2025-04-01,義大開發,D2-02-04,三天兩夜深度假期-方案1,三天兩夜深度假期,會員,103,123,6510,3385,0.333,3.98,-0.023,18,1,True
2025-05-01,義大開發,D2-02-04,三天兩夜深度假期-方案1,三天兩夜深度假期,會員,88,113,6510,3385,0.405,4.11,0.052,17,1,True
2025-06-01,義大開發,D2-02-04,三天兩夜深度假期-方案1,三天兩夜深度假期,會員,87,111,6510,3385,0.355,3.85,0.035,15,1,True
2025-07-01,義大開發,D2-02-04,三天兩夜深度假期-方案1,三天兩夜深度假期,會員,84,110,6510,3385,0.348,4.03,0.069,17,1,True
2025-08-01,義大開發,D2-02-04,三天兩夜深度假期-方案1,三天兩夜深度假期,會員,84,112,6510,3385,0.368,3.89,-0.002,18,1,True
2025-09-01,義大開發,D2-02-04,三天兩夜深度假期-方案1,三天兩夜深度假期,會員,53,67,6510,3385,0.368,3.67,0.012,17,1,True
2025-10-01,義大開發,D2-02-04,三天兩夜深度假期-方案1,三天兩夜深度假期,會員,62,78,6510,3385,0.356,3.87,0.004,16,1,True
2025-11-01,義大開發,D2-02-04,三天兩夜深度假期-方案1,三天兩夜深度假期,會員,63,74,6510,3385,0.308,3.79,0.043,16,1,True
2025-12-01,義大開發,D2-02-04,三天兩夜深度假期-方案1,三天兩夜深度假期,會員,89,113,6510,3385,0.408,4.1,0.087,16,1,True
2025-01-01,義大開發,D2-02-05,樂園一日票-方案2,樂園一日票,線上,91,112,7192,2445,0.443,4.15,0.127,19,1,True
2025-02-01,義大開發,D2-02-05,樂園一日票-方案2,樂園一日票,線上,94,112,7192,2445,0.381,4.2,0.104,22,1,True
2025-03-01,義大開發,D2-02-05,樂園一日票-方案2,樂園一日票,線上,105,114,7192,2445,0.412,4.05,0.129,19,1,True
2025-04-01,義大開發,D2-02-05,樂園一日票-方案2,樂園一日票,線上,103,114,7192,2445,0.428,3.98,0.096,22,1,True
2025-05-01,義大開發,D2-02-05,樂園一日票-方案2,樂園一日票,線上,109,137,7192,2445,0.438,4.35,0.03,21,1,True
2025-06-01,義大開發,D2-02-05,樂園一日票-方案2,樂園一日票,線上,103,138,7192,2445,0.448,4.18,0.087,21,1,True
2025-07-01,義大開發,D2-02-05,樂園一日票-方案2,樂園一日票,線上,104,119,7192,2445,0.479,3.59,0.131,21,1,True
2025-08-01,義大開發,D2-02-05,樂園一日票-方案2,樂園一日票,線上,108,139,7192,2445,0.453,3.78,0.064,22,1,True
2025-09-01,義大開發,D2-02-05,樂園一日票-方案2,樂園一日票,線上,86,107,7192,2445,0.419,3.89,0.081,20,1,True
