date,company,offer,channel,segment,price,base_price,discount_rate,marketing_spend,competitor_price_index,holiday_flag,units_sold,unit_cost,fixed_cost,is_synthetic
2025-01-06,義大開發,樂園一日票,online,新客,4464.37,5472.0,0.184,56525.69,1.0,0,198,3110.64,136800.0,True
2025-01-13,義大開發,購物樂園套票,store,新客,6688.0,6688.0,0.0,79794.99,0.966,0,190,3746.99,167200.0,True
2025-01-20,義大開發,兩天一夜度假,event,新客,6805.65,7904.0,0.139,78879.45,0.871,0,220,4549.09,197600.0,True
2025-01-27,義大開發,三天兩夜深度假期,member,新客,7789.63,9120.0,0.146,116157.88,1.002,0,306,5133.86,228000.0,True
2025-02-03,義大開發,樂園一日票,online,熟客,4658.89,5472.0,0.149,41576.48,0.984,1,162,3106.14,136800.0,True
2025-02-10,義大開發,購物樂園套票,store,熟客,5425.04,6688.0,0.189,75185.87,1.164,1,254,3675.38,167200.0,True
2025-02-17,義大開發,兩天一夜度假,event,熟客,6709.4,7904.0,0.151,105985.84,0.933,1,278,4454.13,197600.0,True
2025-02-24,義大開發,三天兩夜深度假期,member,熟客,7731.06,9120.0,0.152,112423.82,0.935,1,307,4974.94,228000.0,True
2025-03-03,義大開發,樂園一日票,online,親子,4884.36,5472.0,0.107,49419.93,0.943,0,160,3141.63,136800.0,True
2025-03-10,義大開發,購物樂園套票,store,親子,6007.6,6688.0,0.102,63908.8,0.943,0,182,3876.18,167200.0,True
2025-03-17,義大開發,兩天一夜度假,event,親子,7563.01,7904.0,0.043,82221.07,0.969,0,210,4583.3,197600.0,True
2025-03-24,義大開發,三天兩夜深度假期,member,親子,7656.69,9120.0,0.16,128036.53,1.046,0,325,4970.21,228000.0,True
2025-03-31,義大開發,樂園一日票,online,年輕族群,5472.0,5472.0,0.0,63528.57,1.015,0,156,3130.82,136800.0,True
2025-04-07,義大開發,購物樂園套票,store,年輕族群,6053.75,6688.0,0.095,79410.82,0.872,0,210,3810.92,167200.0,True
2025-04-14,義大開發,兩天一夜度假,event,年輕族群,7904.0,7904.0,0.0,88536.04,0.986,0,198,4540.46,197600.0,True
2025-04-21,義大開發,三天兩夜深度假期,member,年輕族群,8648.08,9120.0,0.052,132633.9,1.062,0,281,5144.99,228000.0,True
2025-04-28,義大開發,樂園一日票,online,新客,4386.53,5472.0,0.198,65541.33,0.912,0,221,3021.15,136800.0,True
2025-05-05,義大開發,購物樂園套票,store,新客,5998.13,6688.0,0.103,59860.46,1.013,0,176,3698.27,167200.0,True
2025-05-12,義大開發,兩天一夜度假,event,新客,7600.97,7904.0,0.038,95585.06,0.963,0,210,4521.64,197600.0,True
2025-05-19,義大開發,三天兩夜深度假期,member,新客,8619.21,9120.0,0.055,105774.2,0.975,0,240,5078.26,228000.0,True
2025-05-26,義大開發,樂園一日票,online,熟客,5231.69,5472.0,0.044,34261.18,0.934,0,131,3203.22,136800.0,True
2025-06-02,義大開發,購物樂園套票,store,熟客,5753.79,6688.0,0.14,45289.54,1.012,0,163,3748.43,167200.0,True
2025-06-09,義大開發,兩天一夜度假,event,熟客,7379.5,7904.0,0.066,99353.96,0.948,0,231,4601.6,197600.0,True
2025-06-16,義大開發,三天兩夜深度假期,member,熟客,9120.0,9120.0,0.0,129262.71,0.99,0,253,4961.43,228000.0,True
2025-06-23,義大開發,樂園一日票,online,親子,5472.0,5472.0,0.0,34397.3,1.051,0,106,2991.68,136800.0,True
2025-06-30,義大開發,購物樂園套票,store,親子,5727.83,6688.0,0.144,61531.62,0.971,0,191,3764.45,167200.0,True
2025-07-07,義大開發,兩天一夜度假,event,親子,7117.04,7904.0,0.1,96853.39,0.972,1,248,4399.92,197600.0,True
2025-07-14,義大開發,三天兩夜深度假期,member,親子,8208.64,9120.0,0.1,81853.67,0.988,1,238,5056.67,228000.0,True
2025-07-21,義大開發,樂園一日票,online,年輕族群,4390.7,5472.0,0.198,34253.15,1.085,1,182,2949.66,136800.0,True
2025-07-28,義大開發,購物樂園套票,store,年輕族群,6395.44,6688.0,0.044,80987.46,0.996,1,217,3733.19,167200.0,True
2025-08-04,義大開發,兩天一夜度假,event,年輕族群,7156.62,7904.0,0.095,82505.71,1.103,1,231,4368.03,197600.0,True
2025-08-11,義大開發,三天兩夜深度假期,member,年輕族群,8750.98,9120.0,0.04,99903.66,0.972,1,235,5067.14,228000.0,True
2025-08-18,義大開發,樂園一日票,online,新客,4639.25,5472.0,0.152,40344.66,0.952,1,171,3179.56,136800.0,True
2025-08-25,義大開發,購物樂園套票,store,新客,6302.67,6688.0,0.058,76808.59,0.991,1,204,3684.97,167200.0,True
2025-09-01,義大開發,兩天一夜度假,event,新客,7247.95,7904.0,0.083,105967.21,0.961,0,255,4215.45,197600.0,True
2025-09-08,義大開發,三天兩夜深度假期,member,新客,8759.88,9120.0,0.039,127802.52,0.972,0,251,5028.73,228000.0,True
2025-09-15,義大開發,樂園一日票,online,熟客,4929.63,5472.0,0.099,51514.31,0.861,0,157,3003.48,136800.0,True
2025-09-22,義大開發,購物樂園套票,store,熟客,5442.09,6688.0,0.186,78116.24,1.046,0,247,3651.6,167200.0,True
2025-09-29,義大開發,兩天一夜度假,event,熟客,7541.53,7904.0,0.046,92598.84,1.026,0,199,4438.86,197600.0,True
2025-10-06,義大開發,三天兩夜深度假期,member,熟客,7705.59,9120.0,0.155,115678.13,1.02,0,304,5234.63,228000.0,True
2025-01-06,義大開發,樂園一日票,online,親子,4642.96,5472.0,0.152,54639.28,0.967,0,201,3082.67,136800.0,True
2025-01-13,義大開發,購物樂園套票,store,親子,5774.6,6688.0,0.137,81914.4,0.889,0,232,3823.97,167200.0,True
2025-01-20,義大開發,兩天一夜度假,event,親子,6316.55,7904.0,0.201,88227.84,0.951,0,270,4347.54,197600.0,True
2025-01-27,義大開發,三天兩夜深度假期,member,親子,9061.48,9120.0,0.006,108619.78,0.951,0,242,4936.79,228000.0,True
2025-02-03,義大開發,樂園一日票,online,年輕族群,4860.34,5472.0,0.112,63786.47,0.97,1,206,3200.37,136800.0,True
2025-02-10,義大開發,購物樂園套票,store,年輕族群,6289.59,6688.0,0.06,58772.95,0.974,1,185,3693.8,167200.0,True
2025-02-17,義大開發,兩天一夜度假,event,年輕族群,7745.31,7904.0,0.02,102352.35,0.953,1,233,4276.43,197600.0,True
2025-02-24,義大開發,三天兩夜深度假期,member,年輕族群,8653.28,9120.0,0.051,121403.64,0.99,1,255,5211.0,228000.0,True
2025-03-03,義大開發,樂園一日票,online,新客,4284.1,5472.0,0.217,33726.29,0.89,0,152,3154.01,136800.0,True
2025-03-10,義大開發,購物樂園套票,store,新客,5665.59,6688.0,0.153,51903.42,0.944,0,184,3759.45,167200.0,True
2025-03-17,義大開發,兩天一夜度假,event,新客,6631.77,7904.0,0.161,74260.91,0.893,0,218,4434.47,197600.0,True
2025-03-24,義大開發,三天兩夜深度假期,member,新客,7858.49,9120.0,0.138,121345.12,0.89,0,304,4904.03,228000.0,True
2025-03-31,義大開發,樂園一日票,online,熟客,4709.05,5472.0,0.139,16921.19,0.787,0,106,3062.87,136800.0,True
2025-04-07,義大開發,購物樂園套票,store,熟客,5394.52,6688.0,0.193,65943.66,0.905,0,233,3865.57,167200.0,True
2025-04-14,義大開發,兩天一夜度假,event,熟客,6998.46,7904.0,0.115,82954.87,0.998,0,231,4462.61,197600.0,True
2025-04-21,義大開發,三天兩夜深度假期,member,熟客,7219.59,9120.0,0.208,112634.8,0.985,0,325,5170.79,228000.0,True
2025-04-28,義大開發,樂園一日票,online,親子,4706.78,5472.0,0.14,43967.55,0.97,0,161,3088.92,136800.0,True
2025-05-05,義大開發,購物樂園套票,store,親子,5402.97,6688.0,0.192,70237.08,1.012,0,221,3984.52,167200.0,True
2025-05-12,義大開發,兩天一夜度假,event,親子,7456.03,7904.0,0.057,94698.2,0.948,0,219,4571.71,197600.0,True
2025-05-19,義大開發,三天兩夜深度假期,member,親子,8547.47,9120.0,0.063,107762.55,0.982,0,244,5245.32,228000.0,True
2025-05-26,義大開發,樂園一日票,online,年輕族群,4483.57,5472.0,0.181,38438.29,0.997,0,195,2900.64,136800.0,True
2025-06-02,義大開發,購物樂園套票,store,年輕族群,5701.24,6688.0,0.148,76039.74,0.831,0,233,3663.26,167200.0,True
2025-06-09,義大開發,兩天一夜度假,event,年輕族群,6727.22,7904.0,0.149,77769.55,0.999,0,236,4398.3,197600.0,True
2025-06-16,義大開發,三天兩夜深度假期,member,年輕族群,8254.76,9120.0,0.095,107580.25,0.947,0,280,5345.3,228000.0,True
2025-06-23,義大開發,樂園一日票,online,新客,5298.76,5472.0,0.032,34177.54,0.897,0,146,3187.67,136800.0,True
2025-06-30,義大開發,購物樂園套票,store,新客,5972.77,6688.0,0.107,58736.17,0.875,0,186,3923.24,167200.0,True
2025-07-07,義大開發,兩天一夜度假,event,新客,7904.0,7904.0,0.0,98978.8,1.01,1,214,4492.94,197600.0,True
2025-07-14,義大開發,三天兩夜深度假期,member,新客,8960.62,9120.0,0.017,139671.67,0.927,1,292,5100.88,228000.0,True
