date,company,offer,search_index,social_mentions,website_visits,promo_spend,price_index,competitor_index,holiday_flag,demand_units,is_synthetic
2024-01-01,寶島眼鏡,日常鏡框,43.5,74.0,2098.0,8561.0,0.895,57.9,1,377,True
2024-02-01,寶島眼鏡,日常鏡框,52.2,108.0,2121.0,9546.0,1.019,42.5,1,447,True
2024-03-01,寶島眼鏡,日常鏡框,47.7,70.0,2049.0,6822.0,0.993,29.3,0,374,True
2024-04-01,寶島眼鏡,日常鏡框,46.7,67.0,2069.0,7585.0,0.976,53.1,0,332,True
2024-05-01,寶島眼鏡,日常鏡框,50.6,65.0,2183.0,7949.0,1.067,64.6,0,339,True
2024-06-01,寶島眼鏡,日常鏡框,49.3,43.0,2054.0,6338.0,0.93,28.6,0,391,True
2024-07-01,寶島眼鏡,日常鏡框,56.3,102.0,2292.0,9066.0,0.979,41.8,1,434,True
2024-08-01,寶島眼鏡,日常鏡框,47.6,84.0,1879.0,7913.0,1.018,77.1,1,363,True
2024-09-01,寶島眼鏡,日常鏡框,46.8,45.0,1857.0,6910.0,1.008,38.0,0,330,True
2024-10-01,寶島眼鏡,日常鏡框,40.0,40.0,1789.0,7583.0,0.986,38.3,0,366,True
2024-11-01,寶島眼鏡,日常鏡框,34.4,32.0,1747.0,7379.0,1.023,51.0,0,396,True
2024-12-01,寶島眼鏡,日常鏡框,46.8,85.0,2026.0,8518.0,1.027,64.8,1,361,True
2025-01-01,寶島眼鏡,日常鏡框,61.4,67.0,2379.0,9922.0,1.027,60.0,1,419,True
2025-02-01,寶島眼鏡,日常鏡框,68.6,88.0,2356.0,8836.0,1.031,62.5,1,391,True
2025-03-01,寶島眼鏡,日常鏡框,57.1,87.0,2360.0,5145.0,0.958,31.6,0,356,True
2025-04-01,寶島眼鏡,日常鏡框,61.8,78.0,2526.0,5952.0,0.988,51.3,0,343,True
2025-05-01,寶島眼鏡,日常鏡框,61.7,78.0,2503.0,6513.0,1.023,42.9,0,375,True
2025-06-01,寶島眼鏡,日常鏡框,52.3,68.0,2124.0,5337.0,0.952,33.7,0,384,True
2025-07-01,寶島眼鏡,日常鏡框,53.1,91.0,2476.0,9144.0,1.051,56.7,1,421,True
2025-08-01,寶島眼鏡,日常鏡框,60.7,90.0,2366.0,10973.0,0.963,62.3,1,406,True
2025-09-01,寶島眼鏡,日常鏡框,50.9,48.0,1976.0,6045.0,0.928,48.3,0,366,True
2025-10-01,寶島眼鏡,日常鏡框,38.0,45.0,1906.0,5913.0,1.002,49.0,0,383,True
2025-11-01,寶島眼鏡,日常鏡框,42.2,17.0,1847.0,7314.0,1.004,78.0,0,331,True
2025-12-01,寶島眼鏡,日常鏡框,63.9,80.0,2363.0,8908.0,1.071,66.1,1,386,True
2024-01-01,寶島眼鏡,機能鏡片,63.8,79.0,2509.0,8590.0,1.0,64.8,1,447,True
2024-02-01,寶島眼鏡,機能鏡片,68.8,118.0,2802.0,9165.0,0.987,48.0,1,398,True
2024-03-01,寶島眼鏡,機能鏡片,59.6,92.0,2437.0,6373.0,1.02,29.3,0,343,True
2024-04-01,寶島眼鏡,機能鏡片,54.8,110.0,2122.0,7155.0,1.041,45.8,0,352,True
2024-05-01,寶島眼鏡,機能鏡片,57.5,86.0,2294.0,7913.0,1.022,49.0,0,385,True
2024-06-01,寶島眼鏡,機能鏡片,52.5,74.0,2217.0,6019.0,1.019,66.3,0,356,True
2024-07-01,寶島眼鏡,機能鏡片,65.1,100.0,2193.0,8632.0,1.011,45.7,1,431,True
2024-08-01,寶島眼鏡,機能鏡片,59.9,112.0,2320.0,8463.0,1.056,56.3,1,431,True
2024-09-01,寶島眼鏡,機能鏡片,36.4,60.0,1934.0,5432.0,1.095,34.7,0,353,True
2024-10-01,寶島眼鏡,機能鏡片,45.3,54.0,2075.0,7280.0,1.013,37.5,0,394,True
2024-11-01,寶島眼鏡,機能鏡片,43.4,36.0,2038.0,6070.0,0.95,53.0,0,356,True
2024-12-01,寶島眼鏡,機能鏡片,59.4,89.0,2289.0,9587.0,0.946,28.4,1,449,True
2025-01-01,寶島眼鏡,機能鏡片,62.6,103.0,2398.0,9052.0,1.089,24.9,1,460,True
2025-02-01,寶島眼鏡,機能鏡片,63.0,133.0,2501.0,10623.0,1.017,41.5,1,462,True
2025-03-01,寶島眼鏡,機能鏡片,58.8,106.0,2184.0,6129.0,1.011,51.7,0,351,True
2025-04-01,寶島眼鏡,機能鏡片,67.4,110.0,2360.0,7097.0,1.057,53.7,0,376,True
2025-05-01,寶島眼鏡,機能鏡片,58.4,102.0,2423.0,7288.0,1.004,47.4,0,424,True
2025-06-01,寶島眼鏡,機能鏡片,53.9,72.0,2266.0,6178.0,1.037,68.2,0,396,True
2025-07-01,寶島眼鏡,機能鏡片,74.9,96.0,2492.0,8578.0,0.942,47.4,1,462,True
