date,company,offer,channel,segment,price,base_price,discount_rate,marketing_spend,competitor_price_index,holiday_flag,units_sold,unit_cost,fixed_cost,is_synthetic
2025-01-06,寶島眼鏡,日常鏡框,online,新客,3744.0,3744.0,0.0,25996.47,0.928,0,221,1605.47,93600.0,True
2025-01-13,寶島眼鏡,機能鏡片,store,新客,4576.0,4576.0,0.0,52132.09,0.884,0,260,1995.94,114400.0,True
2025-01-20,寶島眼鏡,親子視覺健康,event,新客,4545.34,5408.0,0.16,58763.29,0.961,0,345,2343.06,135200.0,True
2025-01-27,寶島眼鏡,智慧門市會員方案,member,新客,4993.79,6240.0,0.2,62108.99,0.984,0,407,2689.68,156000.0,True
2025-02-03,寶島眼鏡,日常鏡框,online,熟客,3553.32,3744.0,0.051,39367.41,0.909,1,284,1576.66,93600.0,True
2025-02-10,寶島眼鏡,機能鏡片,store,熟客,4283.71,4576.0,0.064,49766.95,1.045,1,302,1914.22,114400.0,True
2025-02-17,寶島眼鏡,親子視覺健康,event,熟客,5408.0,5408.0,0.0,59136.42,0.85,1,315,2309.01,135200.0,True
2025-02-24,寶島眼鏡,智慧門市會員方案,member,熟客,5312.21,6240.0,0.149,79314.77,0.959,1,423,2627.19,156000.0,True
2025-03-03,寶島眼鏡,日常鏡框,online,親子,2948.21,3744.0,0.213,29401.69,1.037,0,302,1572.29,93600.0,True
2025-03-10,寶島眼鏡,機能鏡片,store,親子,3727.5,4576.0,0.185,36771.64,0.938,0,279,1967.49,114400.0,True
2025-03-17,寶島眼鏡,親子視覺健康,event,親子,4330.25,5408.0,0.199,52100.8,1.06,0,328,2223.25,135200.0,True
2025-03-24,寶島眼鏡,智慧門市會員方案,member,親子,5429.34,6240.0,0.13,75836.27,0.965,0,406,2622.5,156000.0,True
2025-03-31,寶島眼鏡,日常鏡框,online,年輕族群,3159.28,3744.0,0.156,41498.2,1.033,0,266,1611.49,93600.0,True
2025-04-07,寶島眼鏡,機能鏡片,store,年輕族群,4264.77,4576.0,0.068,47670.52,0.868,0,285,1847.76,114400.0,True
2025-04-14,寶島眼鏡,親子視覺健康,event,年輕族群,4265.9,5408.0,0.211,46377.76,0.982,0,332,2412.51,135200.0,True
2025-04-21,寶島眼鏡,智慧門市會員方案,member,年輕族群,5400.66,6240.0,0.135,82582.22,0.964,0,431,2683.2,156000.0,True
2025-04-28,寶島眼鏡,日常鏡框,online,新客,3005.21,3744.0,0.197,31489.37,0.953,0,268,1646.56,93600.0,True
2025-05-05,寶島眼鏡,機能鏡片,store,新客,3618.57,4576.0,0.209,37560.52,0.85,0,321,1936.73,114400.0,True
2025-05-12,寶島眼鏡,親子視覺健康,event,新客,4555.44,5408.0,0.158,70900.41,1.019,0,402,2166.68,135200.0,True
