date,company,offer,search_index,social_mentions,website_visits,promo_spend,price_index,competitor_index,holiday_flag,demand_units,is_synthetic
2024-01-01,盛香珍X亙美質珍,經典小泡芙,38.3,86.0,3965.0,24260.0,0.981,55.9,1,1145,True
2024-02-01,盛香珍X亙美質珍,經典小泡芙,64.1,101.0,4181.0,24751.0,0.998,48.3,1,927,True
2024-03-01,盛香珍X亙美質珍,經典小泡芙,52.2,68.0,4228.0,17808.0,0.997,70.6,0,877,True
2024-04-01,盛香珍X亙美質珍,經典小泡芙,47.8,78.0,4159.0,16782.0,1.044,56.1,0,940,True
2024-05-01,盛香珍X亙美質珍,經典小泡芙,56.3,75.0,4043.0,19554.0,0.933,50.5,0,928,True
2024-06-01,盛香珍X亙美質珍,經典小泡芙,42.1,71.0,3828.0,18455.0,0.986,60.2,0,981,True
2024-07-01,盛香珍X亙美質珍,經典小泡芙,60.2,67.0,4141.0,22752.0,1.078,38.5,1,1017,True
2024-08-01,盛香珍X亙美質珍,經典小泡芙,41.1,83.0,3949.0,25014.0,1.057,33.3,1,988,True
2024-09-01,盛香珍X亙美質珍,經典小泡芙,40.0,5.0,3761.0,15658.0,1.069,60.9,0,884,True
2024-10-01,盛香珍X亙美質珍,經典小泡芙,32.6,27.0,3733.0,20086.0,1.001,43.2,0,863,True
2024-11-01,盛香珍X亙美質珍,經典小泡芙,41.6,6.0,3778.0,18921.0,1.078,31.0,0,883,True
2024-12-01,盛香珍X亙美質珍,經典小泡芙,55.1,66.0,4351.0,23243.0,0.97,34.3,1,1086,True
2025-01-01,盛香珍X亙美質珍,經典小泡芙,63.0,107.0,4560.0,21597.0,1.025,45.9,1,911,True
2025-02-01,盛香珍X亙美質珍,經典小泡芙,61.5,89.0,4287.0,26330.0,1.015,67.3,1,1133,True
2025-03-01,盛香珍X亙美質珍,經典小泡芙,61.5,74.0,4262.0,15641.0,1.019,52.5,0,882,True
2025-04-01,盛香珍X亙美質珍,經典小泡芙,50.1,84.0,3920.0,20338.0,1.072,68.8,0,1005,True
2025-05-01,盛香珍X亙美質珍,經典小泡芙,60.8,77.0,4245.0,17591.0,1.045,29.9,0,935,True
2025-06-01,盛香珍X亙美質珍,經典小泡芙,55.2,70.0,4177.0,17777.0,0.995,27.0,0,892,True
2025-07-01,盛香珍X亙美質珍,經典小泡芙,43.3,79.0,4078.0,24851.0,0.986,67.9,1,891,True
2025-08-01,盛香珍X亙美質珍,經典小泡芙,64.6,87.0,4428.0,29024.0,1.046,67.7,1,1091,True
2025-09-01,盛香珍X亙美質珍,經典小泡芙,53.8,35.0,4207.0,15786.0,0.944,49.3,0,906,True
2025-10-01,盛香珍X亙美質珍,經典小泡芙,56.5,14.0,4088.0,16907.0,0.942,40.9,0,1035,True
2025-11-01,盛香珍X亙美質珍,經典小泡芙,54.2,15.0,4047.0,19677.0,0.99,42.4,0,880,True
2025-12-01,盛香珍X亙美質珍,經典小泡芙,67.2,77.0,4491.0,23140.0,0.999,61.7,1,1047,True
2024-01-01,盛香珍X亙美質珍,限定風味小泡芙,55.0,93.0,4270.0,22520.0,1.03,39.7,1,1090,True
2024-02-01,盛香珍X亙美質珍,限定風味小泡芙,59.1,101.0,4313.0,26941.0,1.109,24.6,1,1045,True
2024-03-01,盛香珍X亙美質珍,限定風味小泡芙,53.3,96.0,4141.0,18656.0,1.022,53.0,0,1014,True
2024-04-01,盛香珍X亙美質珍,限定風味小泡芙,53.0,89.0,4187.0,17045.0,1.073,56.8,0,850,True
2024-05-01,盛香珍X亙美質珍,限定風味小泡芙,39.2,94.0,4144.0,19808.0,1.032,51.8,0,904,True
2024-06-01,盛香珍X亙美質珍,限定風味小泡芙,53.0,114.0,4001.0,16930.0,1.087,63.3,0,853,True
2024-07-01,盛香珍X亙美質珍,限定風味小泡芙,63.7,109.0,4391.0,26467.0,1.007,54.3,1,1160,True
2024-08-01,盛香珍X亙美質珍,限定風味小泡芙,56.5,108.0,4305.0,25999.0,1.016,35.1,1,1041,True
2024-09-01,盛香珍X亙美質珍,限定風味小泡芙,44.4,68.0,3899.0,17037.0,1.034,71.8,0,988,True
2024-10-01,盛香珍X亙美質珍,限定風味小泡芙,43.7,23.0,3722.0,22061.0,0.941,52.4,0,982,True
2024-11-01,盛香珍X亙美質珍,限定風味小泡芙,49.6,62.0,3975.0,20952.0,1.07,50.3,0,865,True
2024-12-01,盛香珍X亙美質珍,限定風味小泡芙,66.2,97.0,4254.0,27760.0,1.136,32.2,1,1006,True
2025-01-01,盛香珍X亙美質珍,限定風味小泡芙,67.4,108.0,4434.0,22135.0,1.039,44.1,1,1121,True
2025-02-01,盛香珍X亙美質珍,限定風味小泡芙,71.1,101.0,4559.0,25910.0,1.083,36.4,1,1145,True
2025-03-01,盛香珍X亙美質珍,限定風味小泡芙,58.4,109.0,4342.0,23379.0,1.037,34.1,0,986,True
2025-04-01,盛香珍X亙美質珍,限定風味小泡芙,63.8,59.0,4307.0,15059.0,1.013,66.2,0,1075,True
2025-05-01,盛香珍X亙美質珍,限定風味小泡芙,62.9,109.0,4263.0,15873.0,1.079,53.9,0,846,True
2025-06-01,盛香珍X亙美質珍,限定風味小泡芙,63.6,77.0,4201.0,19977.0,1.006,27.1,0,932,True
2025-07-01,盛香珍X亙美質珍,限定風味小泡芙,77.2,125.0,4562.0,23932.0,1.045,48.2,1,1095,True
2025-08-01,盛香珍X亙美質珍,限定風味小泡芙,69.0,64.0,4521.0,25398.0,1.036,63.1,1,1094,True
2025-09-01,盛香珍X亙美質珍,限定風味小泡芙,56.4,40.0,4192.0,20407.0,1.009,49.6,0,972,True
2025-10-01,盛香珍X亙美質珍,限定風味小泡芙,46.6,38.0,4005.0,18760.0,0.993,34.1,0,1089,True
2025-11-01,盛香珍X亙美質珍,限定風味小泡芙,50.8,54.0,3896.0,17659.0,0.94,52.1,0,877,True
2025-12-01,盛香珍X亙美質珍,限定風味小泡芙,70.3,81.0,4565.0,21170.0,1.072,68.2,1,1111,True
2024-01-01,盛香珍X亙美質珍,分享派對包,64.2,139.0,4310.0,22575.0,1.08,56.9,1,1053,True
2024-02-01,盛香珍X亙美質珍,分享派對包,65.9,128.0,4261.0,24665.0,1.14,44.9,1,1103,True
2024-03-01,盛香珍X亙美質珍,分享派對包,61.0,97.0,4174.0,19817.0,1.071,46.9,0,961,True
2024-04-01,盛香珍X亙美質珍,分享派對包,55.2,94.0,4085.0,18246.0,0.997,68.5,0,1093,True
2024-05-01,盛香珍X亙美質珍,分享派對包,51.8,114.0,4169.0,14749.0,1.01,35.3,0,904,True
2024-06-01,盛香珍X亙美質珍,分享派對包,53.5,79.0,,16880.0,1.125,70.7,0,947,True
2024-07-01,盛香珍X亙美質珍,分享派對包,64.8,125.0,4311.0,20471.0,1.039,46.0,1,1193,True
2024-08-01,盛香珍X亙美質珍,分享派對包,64.4,79.0,4283.0,22103.0,1.117,59.9,1,1024,True
2024-09-01,盛香珍X亙美質珍,分享派對包,48.1,95.0,4177.0,22096.0,1.045,47.2,0,1005,True
2024-10-01,盛香珍X亙美質珍,分享派對包,57.6,76.0,3952.0,17794.0,1.101,59.5,0,1007,True
2024-11-01,盛香珍X亙美質珍,分享派對包,53.7,70.0,4009.0,18526.0,1.054,47.2,0,1008,True
2024-12-01,盛香珍X亙美質珍,分享派對包,74.0,118.0,4747.0,23748.0,1.033,61.4,1,1135,True
2025-01-01,盛香珍X亙美質珍,分享派對包,65.2,115.0,4332.0,23563.0,1.025,51.4,1,1221,True
2025-02-01,盛香珍X亙美質珍,分享派對包,76.0,151.0,4824.0,24055.0,1.119,51.9,1,985,True
2025-03-01,盛香珍X亙美質珍,分享派對包,60.6,123.0,4344.0,19017.0,1.049,33.7,0,965,True
2025-04-01,盛香珍X亙美質珍,分享派對包,70.5,110.0,4345.0,16535.0,1.053,40.8,0,1001,True
2025-05-01,盛香珍X亙美質珍,分享派對包,72.2,102.0,4478.0,18606.0,1.043,39.8,0,996,True
2025-06-01,盛香珍X亙美質珍,分享派對包,68.0,96.0,4495.0,17730.0,1.059,47.4,0,1013,True
2025-07-01,盛香珍X亙美質珍,分享派對包,79.0,90.0,4601.0,26530.0,1.038,38.3,1,1228,True
2025-08-01,盛香珍X亙美質珍,分享派對包,70.5,,4560.0,23581.0,1.069,42.3,1,1201,True
2025-09-01,盛香珍X亙美質珍,分享派對包,59.6,55.0,4156.0,17234.0,1.119,45.1,0,1030,True
2025-10-01,盛香珍X亙美質珍,分享派對包,59.1,71.0,4038.0,19672.0,1.125,40.5,0,830,True
2025-11-01,盛香珍X亙美質珍,分享派對包,59.4,83.0,4276.0,18418.0,1.078,58.5,0,938,True
2025-12-01,盛香珍X亙美質珍,分享派對包,80.3,99.0,4438.0,24776.0,1.172,36.8,1,1158,True
2024-01-01,盛香珍X亙美質珍,跨界聯名禮盒,63.5,108.0,4506.0,28563.0,1.15,47.5,1,1211,True
2024-02-01,盛香珍X亙美質珍,跨界聯名禮盒,75.3,145.0,4762.0,22733.0,1.127,58.9,1,1206,True
2024-03-01,盛香珍X亙美質珍,跨界聯名禮盒,59.0,132.0,4247.0,24108.0,1.171,66.4,0,1142,True
2024-04-01,盛香珍X亙美質珍,跨界聯名禮盒,62.1,130.0,4309.0,17423.0,1.096,61.9,0,1050,True
2024-05-01,盛香珍X亙美質珍,跨界聯名禮盒,65.4,122.0,4366.0,14831.0,1.149,49.1,0,1013,True
2024-06-01,盛香珍X亙美質珍,跨界聯名禮盒,62.4,99.0,4432.0,16070.0,1.135,40.3,0,950,True
2024-07-01,盛香珍X亙美質珍,跨界聯名禮盒,82.1,124.0,4592.0,20746.0,1.161,50.5,1,1084,True
2024-08-01,盛香珍X亙美質珍,跨界聯名禮盒,63.3,104.0,4376.0,27535.0,1.131,43.5,1,1258,True
2024-09-01,盛香珍X亙美質珍,跨界聯名禮盒,52.8,88.0,4300.0,19051.0,1.181,44.0,0,1046,True
2024-10-01,盛香珍X亙美質珍,跨界聯名禮盒,53.2,61.0,4109.0,20243.0,1.175,48.2,0,1108,True
2024-11-01,盛香珍X亙美質珍,跨界聯名禮盒,55.7,63.0,4168.0,15618.0,1.08,20.1,0,949,True
2024-12-01,盛香珍X亙美質珍,跨界聯名禮盒,68.0,111.0,4474.0,24109.0,1.092,47.1,1,1123,True
2025-01-01,盛香珍X亙美質珍,跨界聯名禮盒,85.5,132.0,4644.0,21842.0,1.112,37.8,1,1251,True
2025-02-01,盛香珍X亙美質珍,跨界聯名禮盒,81.1,133.0,4656.0,26276.0,1.068,58.8,1,1384,True
2025-03-01,盛香珍X亙美質珍,跨界聯名禮盒,73.2,113.0,4594.0,20629.0,1.071,49.8,0,1080,True
2025-04-01,盛香珍X亙美質珍,跨界聯名禮盒,71.6,94.0,4536.0,15036.0,1.074,51.9,0,1019,True
2025-05-01,盛香珍X亙美質珍,跨界聯名禮盒,81.9,108.0,4737.0,18195.0,1.144,45.2,0,1013,True
2025-06-01,盛香珍X亙美質珍,跨界聯名禮盒,71.9,118.0,4409.0,17674.0,1.105,59.6,0,1184,True
2025-07-01,盛香珍X亙美質珍,跨界聯名禮盒,82.2,106.0,,23690.0,1.104,45.1,1,1174,True
2025-08-01,盛香珍X亙美質珍,跨界聯名禮盒,81.6,121.0,4666.0,22413.0,1.084,44.2,1,1241,True
