month,company,offer_id,offer,category,channel,units_sold,capacity_units,price,unit_cost,repeat_rate,satisfaction,growth_rate,lead_time_days,is_service,is_synthetic
2025-01-01,盛香珍X亙美質珍,D2-03-01,經典小泡芙-方案1,經典小泡芙,線上,43,87,68,23,0.23,3.64,-0.051,5,0,True
2025-02-01,盛香珍X亙美質珍,D2-03-01,經典小泡芙-方案1,經典小泡芙,線上,47,102,68,23,0.19,3.19,-0.068,5,0,True
2025-03-01,盛香珍X亙美質珍,D2-03-01,經典小泡芙-方案1,經典小泡芙,線上,50,90,68,23,0.103,3.36,-0.042,7,0,True
2025-04-01,盛香珍X亙美質珍,D2-03-01,經典小泡芙-方案1,經典小泡芙,線上,45,85,68,23,0.192,3.56,-0.119,7,0,True
2025-05-01,盛香珍X亙美質珍,D2-03-01,經典小泡芙-方案1,經典小泡芙,線上,44,81,68,23,0.15,3.55,-0.087,4,0,True
2025-06-01,盛香珍X亙美質珍,D2-03-01,經典小泡芙-方案1,經典小泡芙,線上,41,84,68,23,0.18,3.65,-0.052,7,0,True
2025-07-01,盛香珍X亙美質珍,D2-03-01,經典小泡芙-方案1,經典小泡芙,線上,35,66,68,23,0.172,3.4,-0.11,3,0,True
2025-08-01,盛香珍X亙美質珍,D2-03-01,經典小泡芙-方案1,經典小泡芙,線上,22,37,68,23,0.182,3.33,-0.097,3,0,True
2025-09-01,盛香珍X亙美質珍,D2-03-01,經典小泡芙-方案1,經典小泡芙,線上,37,66,68,23,0.179,3.48,-0.056,3,0,True
2025-10-01,盛香珍X亙美質珍,D2-03-01,經典小泡芙-方案1,經典小泡芙,線上,33,59,68,23,0.076,3.2,-0.14,4,0,True
2025-11-01,盛香珍X亙美質珍,D2-03-01,經典小泡芙-方案1,經典小泡芙,線上,26,47,68,23,0.135,3.42,-0.047,5,0,True
2025-12-01,盛香珍X亙美質珍,D2-03-01,經典小泡芙-方案1,經典小泡芙,線上,25,44,68,23,0.119,3.39,-0.108,6,0,True
2025-01-01,盛香珍X亙美質珍,D2-03-02,限定風味小泡芙-方案1,限定風味小泡芙,門市,47,75,79,32,0.187,3.37,0.015,9,0,True
2025-02-01,盛香珍X亙美質珍,D2-03-02,限定風味小泡芙-方案1,限定風味小泡芙,門市,69,110,79,32,0.261,3.75,-0.07,7,0,True
2025-03-01,盛香珍X亙美質珍,D2-03-02,限定風味小泡芙-方案1,限定風味小泡芙,門市,70,101,79,32,0.229,3.76,0.016,9,0,True
2025-04-01,盛香珍X亙美質珍,D2-03-02,限定風味小泡芙-方案1,限定風味小泡芙,門市,54,83,79,32,0.228,3.62,0.004,9,0,True
2025-05-01,盛香珍X亙美質珍,D2-03-02,限定風味小泡芙-方案1,限定風味小泡芙,門市,63,103,79,32,0.278,3.8,-0.041,9,0,True
2025-06-01,盛香珍X亙美質珍,D2-03-02,限定風味小泡芙-方案1,限定風味小泡芙,門市,61,100,79,32,0.243,3.69,0.007,7,0,True
2025-07-01,盛香珍X亙美質珍,D2-03-02,限定風味小泡芙-方案1,限定風味小泡芙,門市,57,87,79,32,0.258,3.41,-0.012,10,0,True
2025-08-01,盛香珍X亙美質珍,D2-03-02,限定風味小泡芙-方案1,限定風味小泡芙,門市,44,65,79,32,0.224,3.57,-0.076,9,0,True
2025-09-01,盛香珍X亙美質珍,D2-03-02,限定風味小泡芙-方案1,限定風味小泡芙,門市,44,65,79,32,0.241,3.57,-0.065,8,0,True
2025-10-01,盛香珍X亙美質珍,D2-03-02,限定風味小泡芙-方案1,限定風味小泡芙,門市,38,57,79,32,0.252,3.91,-0.074,10,0,True
2025-11-01,盛香珍X亙美質珍,D2-03-02,限定風味小泡芙-方案1,限定風味小泡芙,門市,42,66,79,32,0.201,3.62,-0.048,9,0,True
2025-12-01,盛香珍X亙美質珍,D2-03-02,限定風味小泡芙-方案1,限定風味小泡芙,門市,56,97,79,32,0.277,3.51,-0.081,10,0,True
2025-01-01,盛香珍X亙美質珍,D2-03-03,分享派對包-方案1,分享派對包,活動,69,105,89,41,0.284,3.7,0.013,14,0,True
2025-02-01,盛香珍X亙美質珍,D2-03-03,分享派對包-方案1,分享派對包,活動,66,99,89,41,0.304,3.82,-0.023,12,0,True
2025-03-01,盛香珍X亙美質珍,D2-03-03,分享派對包-方案1,分享派對包,活動,77,95,89,41,0.327,3.92,0.062,14,0,True
2025-04-01,盛香珍X亙美質珍,D2-03-03,分享派對包-方案1,分享派對包,活動,73,106,89,41,0.248,3.68,0.029,14,0,True
2025-05-01,盛香珍X亙美質珍,D2-03-03,分享派對包-方案1,分享派對包,活動,75,101,89,41,0.283,3.84,-0.031,11,0,True
2025-06-01,盛香珍X亙美質珍,D2-03-03,分享派對包-方案1,分享派對包,活動,68,100,89,41,0.315,3.3,0.032,15,0,True
2025-07-01,盛香珍X亙美質珍,D2-03-03,分享派對包-方案1,分享派對包,活動,64,94,89,41,0.276,3.75,0.075,11,0,True
2025-08-01,盛香珍X亙美質珍,D2-03-03,分享派對包-方案1,分享派對包,活動,60,85,89,41,0.318,3.76,0.041,14,0,True
2025-09-01,盛香珍X亙美質珍,D2-03-03,分享派對包-方案1,分享派對包,活動,49,59,89,41,0.328,3.62,-0.017,11,0,True
