date,company,offer,channel,segment,price,base_price,discount_rate,marketing_spend,competitor_price_index,holiday_flag,units_sold,unit_cost,fixed_cost,is_synthetic
2025-01-06,盛香珍X亙美質珍,經典小泡芙,online,新客,76.25,86.4,0.117,839.25,1.049,0,1195,41.24,2160.0,True
2025-01-13,盛香珍X亙美質珍,限定風味小泡芙,store,新客,91.05,105.6,0.138,1152.25,1.017,0,1227,50.39,2640.0,True
2025-01-20,盛香珍X亙美質珍,分享派對包,event,新客,111.95,124.8,0.103,1399.75,0.924,0,1308,57.48,3120.0,True
2025-01-27,盛香珍X亙美質珍,跨界聯名禮盒,member,新客,122.9,144.0,0.147,1843.87,1.073,0,1580,69.54,3600.0,True
2025-02-03,盛香珍X亙美質珍,經典小泡芙,online,熟客,74.14,86.4,0.142,500.0,0.885,1,1700,39.11,2160.0,True
2025-02-10,盛香珍X亙美質珍,限定風味小泡芙,store,熟客,96.55,105.6,0.086,769.12,0.906,1,1632,50.81,2640.0,True
2025-02-17,盛香珍X亙美質珍,分享派對包,event,熟客,112.35,124.8,0.1,1429.1,0.99,1,1665,60.19,3120.0,True
2025-02-24,盛香珍X亙美質珍,跨界聯名禮盒,member,熟客,131.68,144.0,0.086,1853.81,0.977,1,1755,67.53,3600.0,True
2025-03-03,盛香珍X亙美質珍,經典小泡芙,online,親子,70.0,86.4,0.19,805.28,0.915,0,1853,42.31,2160.0,True
2025-03-10,盛香珍X亙美質珍,限定風味小泡芙,store,親子,90.02,105.6,0.148,899.49,1.087,0,1511,49.34,2640.0,True
2025-03-17,盛香珍X亙美質珍,分享派對包,event,親子,124.13,124.8,0.005,1629.04,0.92,0,1338,58.21,3120.0,True
2025-03-24,盛香珍X亙美質珍,跨界聯名禮盒,member,親子,121.66,144.0,0.155,1562.38,0.754,0,2082,68.89,3600.0,True
2025-03-31,盛香珍X亙美質珍,經典小泡芙,online,年輕族群,70.32,86.4,0.186,689.65,1.007,0,1546,40.11,2160.0,True
2025-04-07,盛香珍X亙美質珍,限定風味小泡芙,store,年輕族群,85.54,105.6,0.19,1300.88,0.965,0,2004,50.32,2640.0,True
2025-04-14,盛香珍X亙美質珍,分享派對包,event,年輕族群,99.24,124.8,0.205,1247.12,0.958,0,1832,62.24,3120.0,True
2025-04-21,盛香珍X亙美質珍,跨界聯名禮盒,member,年輕族群,144.0,144.0,0.0,1795.79,0.966,0,1235,68.11,3600.0,True
2025-04-28,盛香珍X亙美質珍,經典小泡芙,online,新客,82.03,86.4,0.051,733.85,1.014,0,1282,43.52,2160.0,True
2025-05-05,盛香珍X亙美質珍,限定風味小泡芙,store,新客,93.51,105.6,0.114,935.65,0.981,0,1664,51.03,2640.0,True
2025-05-12,盛香珍X亙美質珍,分享派對包,event,新客,96.92,124.8,0.223,1502.61,0.953,0,1854,57.16,3120.0,True
2025-05-19,盛香珍X亙美質珍,跨界聯名禮盒,member,新客,115.31,144.0,0.199,1831.82,0.938,0,2010,69.47,3600.0,True
2025-05-26,盛香珍X亙美質珍,經典小泡芙,online,熟客,70.29,86.4,0.186,562.23,0.983,0,1338,43.96,2160.0,True
2025-06-02,盛香珍X亙美質珍,限定風味小泡芙,store,熟客,85.09,105.6,0.194,1009.22,1.015,0,1916,49.26,2640.0,True
2025-06-09,盛香珍X亙美質珍,分享派對包,event,熟客,97.79,124.8,0.216,1535.71,0.986,0,1837,61.31,3120.0,True
2025-06-16,盛香珍X亙美質珍,跨界聯名禮盒,member,熟客,144.0,144.0,0.0,1859.36,0.912,0,1042,71.72,3600.0,True
2025-06-23,盛香珍X亙美質珍,經典小泡芙,online,親子,81.83,86.4,0.053,793.1,1.092,0,1294,41.54,2160.0,True
2025-06-30,盛香珍X亙美質珍,限定風味小泡芙,store,親子,93.32,105.6,0.116,962.41,0.893,0,1432,50.66,2640.0,True
2025-07-07,盛香珍X亙美質珍,分享派對包,event,親子,111.71,124.8,0.105,1520.18,0.914,1,1742,60.26,3120.0,True
2025-07-14,盛香珍X亙美質珍,跨界聯名禮盒,member,親子,123.87,144.0,0.14,1883.38,0.953,1,1730,69.25,3600.0,True
2025-07-21,盛香珍X亙美質珍,經典小泡芙,online,年輕族群,82.16,86.4,0.049,906.81,0.961,1,1168,43.25,2160.0,True
