date,company,channel,audience_segment,creative_type,device,impression,clicked,visited,converted,spend,revenue,unit_margin_rate,is_synthetic
2025-10-01,盛香珍X亙美質珍,Meta,新客探索,短影音,mobile,1,0,0,0,5.21,0.0,0.38,True
2025-10-02,盛香珍X亙美質珍,Google,新客探索,短影音,mobile,1,0,0,0,7.93,0.0,0.38,True
2025-10-03,盛香珍X亙美質珍,LINE,新客探索,短影音,mobile,1,0,0,0,3.91,0.0,0.38,True
2025-10-04,盛香珍X亙美質珍,Email,新客探索,短影音,mobile,1,0,0,0,1.42,0.0,0.38,True
2025-10-05,盛香珍X亙美質珍,YouTube,新客探索,短影音,mobile,1,0,0,0,6.38,0.0,0.38,True
2025-10-06,盛香珍X亙美質珍,Meta,高意圖,短影音,mobile,1,0,0,0,4.93,0.0,0.38,True
2025-10-07,盛香珍X亙美質珍,Google,高意圖,短影音,mobile,1,0,0,0,7.2,0.0,0.38,True
2025-10-08,盛香珍X亙美質珍,LINE,高意圖,短影音,desktop,1,1,1,0,4.07,0.0,0.38,True
2025-10-09,盛香珍X亙美質珍,Email,高意圖,短影音,mobile,1,0,0,0,1.15,0.0,0.38,True
2025-10-10,盛香珍X亙美質珍,YouTube,高意圖,短影音,desktop,1,0,0,0,5.35,0.0,0.38,True
2025-10-11,盛香珍X亙美質珍,Meta,既有會員,短影音,desktop,1,0,0,0,4.61,0.0,0.38,True
2025-10-12,盛香珍X亙美質珍,Google,既有會員,短影音,mobile,1,0,0,0,8.33,0.0,0.38,True
2025-10-13,盛香珍X亙美質珍,LINE,既有會員,短影音,mobile,1,0,0,0,3.14,0.0,0.38,True
2025-10-14,盛香珍X亙美質珍,Email,既有會員,短影音,mobile,1,0,0,0,0.98,0.0,0.38,True
2025-10-15,盛香珍X亙美質珍,YouTube,既有會員,短影音,mobile,1,0,0,0,4.56,0.0,0.38,True
2025-10-16,盛香珍X亙美質珍,Meta,親子家庭,短影音,mobile,1,0,0,0,5.56,0.0,0.38,True
2025-10-17,盛香珍X亙美質珍,Google,親子家庭,短影音,mobile,1,0,0,0,7.29,0.0,0.38,True
2025-10-18,盛香珍X亙美質珍,LINE,親子家庭,短影音,mobile,1,0,0,0,3.29,0.0,0.38,True
2025-10-19,盛香珍X亙美質珍,Email,親子家庭,短影音,mobile,1,0,0,0,1.1,0.0,0.38,True
2025-10-20,盛香珍X亙美質珍,YouTube,親子家庭,短影音,mobile,1,0,0,0,5.65,0.0,0.38,True
2025-10-21,盛香珍X亙美質珍,Meta,年輕族群,短影音,desktop,1,0,0,0,4.26,0.0,0.38,True
2025-10-22,盛香珍X亙美質珍,Google,年輕族群,短影音,desktop,1,0,0,0,6.03,0.0,0.38,True
2025-10-23,盛香珍X亙美質珍,LINE,年輕族群,短影音,desktop,1,1,1,0,3.47,0.0,0.38,True
2025-10-24,盛香珍X亙美質珍,Email,年輕族群,短影音,mobile,1,0,0,0,1.14,0.0,0.38,True
2025-10-25,盛香珍X亙美質珍,YouTube,年輕族群,短影音,mobile,1,0,0,0,4.76,0.0,0.38,True
2025-10-26,盛香珍X亙美質珍,Meta,新客探索,情境圖文,mobile,1,0,0,0,5.49,0.0,0.38,True
2025-10-27,盛香珍X亙美質珍,Google,新客探索,情境圖文,mobile,1,1,1,0,6.83,0.0,0.38,True
2025-10-28,盛香珍X亙美質珍,LINE,新客探索,情境圖文,mobile,1,0,0,0,3.1,0.0,0.38,True
2025-10-29,盛香珍X亙美質珍,Email,新客探索,情境圖文,mobile,1,0,0,0,1.38,0.0,0.38,True
2025-10-30,盛香珍X亙美質珍,YouTube,新客探索,情境圖文,desktop,1,0,0,0,4.88,0.0,0.38,True
2025-10-31,盛香珍X亙美質珍,Meta,高意圖,情境圖文,mobile,1,0,0,0,4.9,0.0,0.38,True
2025-11-01,盛香珍X亙美質珍,Google,高意圖,情境圖文,mobile,1,0,0,0,6.0,0.0,0.38,True
2025-11-02,盛香珍X亙美質珍,LINE,高意圖,情境圖文,mobile,1,0,0,0,3.06,0.0,0.38,True
